epoch,train_loss,train_acc,test_loss,test_acc
1,2.1344652434539797,0.20488,2.022770263671875,0.2597
2,2.0186911404418946,0.24922,1.8970225284576416,0.2983
3,2.010243484954834,0.25274,1.9072177560806274,0.29
4,1.9952284572601318,0.26088,1.8907000495910644,0.3027
5,1.9962889101791381,0.26108,1.8968271499633789,0.3007
6,1.9906421136856078,0.25978,1.8710549690246583,0.2991
7,1.9789404233551025,0.26648,1.8729571523666382,0.3107
8,1.97843787651062,0.26624,1.8582117340087891,0.3136
9,1.9777873904037475,0.26486,1.862920560836792,0.3152
10,1.9690655079650878,0.26784,1.8784164529800416,0.3076
11,1.9658676456069946,0.27026,1.8229821308135987,0.3258
12,1.9590900508117677,0.26692,1.8474713500976563,0.3287
13,1.9669304356384278,0.26908,1.8680181037902832,0.3111
14,1.958348878631592,0.27156,1.8127110235214234,0.3475
15,1.9552243856430054,0.27324,1.8901950101852416,0.2852
16,1.956668193511963,0.27416,1.8504865715026855,0.3122
17,1.948801014099121,0.27538,1.7920600860595703,0.3394
18,1.9498589097595216,0.27362,1.8019978916168213,0.3464
19,1.9449512919616698,0.27842,1.8016673805236816,0.3433
20,1.9463943926620484,0.27408,1.8101041078567506,0.3376
